,hits@1,hits@3,hits@10,hits@50,hits@100
/award/award_category/category_of,1.0,1.0,1.0,1.0,1.0
/award/award_category/category_of_inv,1.0,1.0,1.0,1.0,1.0
/award/award_category/disciplines_or_subjects,0.7333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.0
/award/award_category/disciplines_or_subjects_inv,0.6,0.6666666666666666,0.8,1.0,1.0
/award/award_category/nominees./award/award_nomination/nominated_for,0.1258741258741259,0.24475524475524477,0.4125874125874126,0.6888111888111889,0.7972027972027972
/award/award_category/nominees./award/award_nomination/nominated_for_inv,0.32517482517482516,0.5524475524475524,0.803030303030303,0.986013986013986,0.9953379953379954
/award/award_category/winners./award/award_honor/award_winner,0.2626728110599078,0.41935483870967744,0.5668202764976958,0.7096774193548387,0.7926267281105991
/award/award_category/winners./award/award_honor/award_winner_inv,0.42857142857142855,0.5944700460829493,0.7741935483870968,0.9539170506912442,0.967741935483871
/award/award_category/winners./award/award_honor/ceremony,0.7925696594427245,0.9597523219814241,1.0,1.0,1.0
/award/award_category/winners./award/award_honor/ceremony_inv,0.7089783281733746,0.8792569659442725,0.9876160990712074,1.0,1.0
/award/award_ceremony/awards_presented./award/award_honor/award_winner,0.2113564668769716,0.36908517350157727,0.5141955835962145,0.750788643533123,0.7823343848580442
/award/award_ceremony/awards_presented./award/award_honor/award_winner_inv,0.4384858044164038,0.5962145110410094,0.7760252365930599,0.9684542586750788,0.9968454258675079
/award/award_ceremony/awards_presented./award/award_honor/honored_for,0.39669421487603307,0.6611570247933884,0.8016528925619835,0.8842975206611571,0.9173553719008265
/award/award_ceremony/awards_presented./award/award_honor/honored_for_inv,0.48760330578512395,0.7851239669421488,0.9173553719008265,0.9669421487603306,0.9917355371900827
/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for,0.8125,0.8125,0.8125,1.0,1.0
/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for_inv,0.8125,0.8125,0.875,1.0,1.0
/award/award_nominee/award_nominations./award/award_nomination/award,0.34957825679475163,0.5613870665417057,0.7985004686035614,0.9625117150890347,0.9925023430178069
/award/award_nominee/award_nominations./award/award_nomination/award_inv,0.17057169634489222,0.25960637300843487,0.42361761949390814,0.6757263355201499,0.7788191190253045
/award/award_nominee/award_nominations./award/award_nomination/award_nominee,0.794392523364486,0.8738317757009346,0.9439252336448598,0.9813084112149533,0.985981308411215
/award/award_nominee/award_nominations./award/award_nomination/award_nominee_inv,0.7757009345794392,0.8785046728971962,0.9439252336448598,0.9766355140186916,0.9906542056074766
/award/award_nominee/award_nominations./award/award_nomination/nominated_for,0.3560606060606061,0.4318181818181818,0.6212121212121212,0.803030303030303,0.8939393939393939
/award/award_nominee/award_nominations./award/award_nomination/nominated_for_inv,0.3333333333333333,0.44696969696969696,0.5454545454545454,0.7196969696969697,0.7954545454545454
/award/award_winner/awards_won./award/award_honor/award_winner,0.7317073170731707,0.8292682926829268,0.9024390243902439,0.975609756097561,1.0
/award/award_winner/awards_won./award/award_honor/award_winner_inv,0.7073170731707317,0.8292682926829268,0.8780487804878049,0.975609756097561,1.0
/award/award_winning_work/awards_won./award/award_honor/award,0.4830508474576271,0.711864406779661,0.864406779661017,0.9915254237288136,1.0
/award/award_winning_work/awards_won./award/award_honor/award_inv,0.17796610169491525,0.3559322033898305,0.5677966101694916,0.8050847457627118,0.847457627118644
/award/award_winning_work/awards_won./award/award_honor/award_winner,0.4583333333333333,0.625,0.6666666666666666,0.875,0.9166666666666666
/award/award_winning_work/awards_won./award/award_honor/award_winner_inv,0.5416666666666666,0.6666666666666666,0.8333333333333334,0.9583333333333334,1.0
/award/award_winning_work/awards_won./award/award_honor/honored_for,0.9,0.9,0.9,1.0,1.0
/award/award_winning_work/awards_won./award/award_honor/honored_for_inv,0.9,0.9,1.0,1.0,1.0
/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee,0.037037037037037035,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.5185185185185185
/award/hall_of_fame/inductees./award/hall_of_fame_induction/inductee_inv,0.8518518518518519,0.8888888888888888,1.0,1.0,1.0
/award/ranked_item/appears_in_ranked_lists./award/ranking/list,0.9166666666666666,1.0,1.0,1.0,1.0
/award/ranked_item/appears_in_ranked_lists./award/ranking/list_inv,0.125,0.22916666666666666,0.4375,0.7291666666666666,0.7708333333333334
